REEF_ID,REEF_NAME,SECTOR,SHELF,LATITUDE,LONGITUDE
11016S,MCSWEENEY REEF,CG,M,-11.0275,143.251
11029S,MONSOON REEF,CG,M,-11.133333,143.258333
11049S,11049S,CG,M,-11.358333,143.333333
11162S,11162S,CG,M,-11.6,143.291667
11167S,BIRD ISLANDS REEF (NORTH),CG,I,-11.766667,143.083333
11184C1,SIR CHARLES HARDY ISLANDS (1),CG,M,-11.908333,143.466667
11184C2,SIR CHARLES HARDY ISLANDS (2),CG,M,-11.908333,143.466667
11211S,PEARSON REEF,CG,M,-11.566667,143.716667
11222S2,MIDDLE BANKS (2),CG,M,-11.763333,143.651667
11222S3,MIDDLE BANKS B (3),CG,M,-11.771667,143.658333
11237A,ASHMORE BANKS (1),CG,M,-11.885167,143.629333
11237B,ASHMORE BANKS (2),CG,M,-11.88,143.709833
11237C,ASHMORE BANKS (3),CG,M,-11.926667,143.688167
11243S,RAINE REEF,CG,O,-11.6,144.025
12010S,KAY REEF,CG,I,-12.233333,143.283333
12016B,FORBES ISLANDS REEF,CG,M,-12.291667,143.408333
12027B,QUOIN REEF(12027),CG,M,-12.4,143.533333
12056S,MANTIS REEF,CG,O,-12.275,143.891667
12061S,LAGOON REEF,CG,O,-12.391667,143.741667
12071S,12071S,CG,O,-12.483333,143.75
12098S,SECOND SMALL REEF,CG,O,-12.566667,143.775
12102S,CURD REEF,CG,I,-12.591667,143.55
12107S,LOG REEF (SOUTH),CG,O,-12.675,143.841667
13006S,OSBORNE REEF,PC,I,-13.041667,143.625
13040S,13040S,PC,O,-13.266667,143.941667
13041S,CELEBRATION REEF,PC,M,-13.275,143.691667
13056S,SAND BANK NO 8 REEF,PC,O,-13.358333,143.958333
13060S,BLANCHARD REEF,PC,M,-13.416667,143.75
13063S,13063S,PC,M,-13.416667,143.816667
13072S,MORRIS ISLAND REEF,PC,M,-13.483333,143.733333
13076S,OGILVIE REEF,PC,M,-13.541667,143.791667
13081S,FIFE REEF,PC,I,-13.658333,143.725
13087S,MAGPIE REEF,PC,M,-13.775,143.833333
13093A,13093A,PC,M,-13.758333,143.991667
13107S,PELICAN ISLAND REEF(13107),PC,I,-13.916667,143.841667
13108S,HEDGE REEF,PC,M,-13.908333,143.958333
13118A,CREECH REEF (NORTH),PC,O,-13.625,144.108333
13121S,13121S,PC,O,-13.783333,144.266667
13124S,13124S,PC,M,-13.866667,144.091667
13127S,RODDA REEF,PC,O,-13.925,144.366667
